RTCData,RTCHora,GPSData,GPSHora,Lat,Long,Altgps,Vel,GPSUpdate,Ax,Ay,Az,Gx,Gy,Gz,indiceAmostra,LatLogger,LongLogger,ElevationLogger,DataLogger,HoraLogger,SpeedLogger,SatellitesLogger,Seconds,LatInter,LongInter,Ax_SMA,Ay_SMA,Az_SMA,Gx_SMA,Gy_SMA,Gz_SMA,Ax_Butter,Ay_Butter,Az_Butter,Gx_Butter,Gy_Butter,Gz_Butter,Ax_Comp,Ay_Comp,Az_Comp,Gx_Comp,Gy_Comp,Gz_Comp
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.49,-0.79,0.0,1,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.7446967,-38.57741351,-0.078,0.036,-1.04,-0.502,-0.8039999999999999,-0.012,-0.08049045191839704,0.033795765255573845,-1.0373783823989746,-0.4971835173412885,-0.7505408032618661,-0.038752410522861734,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.48019999999999996,-0.7742,0.0
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.03,-0.37,-0.79,-0.12,2,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696643,-38.577413655,-0.078,0.036,-1.038,-0.466,-0.792,-0.012,-0.07943011512076527,0.034589695641608305,-1.0334728552727879,-0.39307771064649843,-0.8191953298347925,0.03351648609610096,-0.0016000000000000014,0.0006000000000000005,-0.020600000000000018,-0.3626,-0.7742,-0.1176
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.49,-0.98,0.31,3,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696586,-38.5774138,-0.08,0.036,-1.038,-0.454,-0.8039999999999999,0.0020000000000000018,-0.08001684376655398,0.03771953815437861,-1.0368575797366113,-0.48934199878119544,-0.9042922995021702,0.08217889191974084,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.48019999999999996,-0.9603999999999999,0.3038
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.55,-0.79,-0.06,4,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696529,-38.577413945,-0.08,0.036,-1.038,-0.502,-0.8039999999999999,0.026000000000000002,-0.08028435233182006,0.04092964632061666,-1.0425161340832447,-0.5393146921470271,-0.9729999380426227,0.17621321423078162,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.539,-0.7742,-0.0588
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.37,-1.1,0.43,5,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696472,-38.57741409,-0.08,0.038,-1.038,-0.454,-0.89,0.11200000000000002,-0.07986072904548716,0.03902943810632988,-1.0383203197883597,-0.331441629534285,-0.8488791416112265,0.2495772244942978,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.3626,-1.078,0.4214
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.03,-0.12,-0.49,0.06,6,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696415,-38.577414235,-0.08,0.036000000000000004,-1.036,-0.38,-0.8300000000000001,0.124,-0.07991074184138439,0.031765977555101424,-1.0300464789712682,-0.2246982900065926,-0.6616176345660872,0.1654681247180379,-0.0016000000000000014,0.0006000000000000005,-0.020600000000000018,-0.1176,-0.48019999999999996,0.0588
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.03,-0.49,-0.67,0.12,7,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696358,-38.57741438,-0.08,0.036000000000000004,-1.036,-0.404,-0.806,0.172,-0.08011640100378031,0.02760955935047786,-1.0317101365422805,-0.3810019175262712,-0.7037785174359784,0.05008643085967579,-0.0016000000000000014,0.0006000000000000005,-0.020600000000000018,-0.48019999999999996,-0.6566000000000001,0.1176
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.03,-1.04,-0.43,-1.04,0.0,8,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696301,-38.577414525,-0.08,0.034,-1.036,-0.392,-0.818,0.11000000000000001,-0.07999749578997775,0.032171862972384696,-1.0384896343815384,-0.482668656587811,-0.836007381802865,0.08548319772409235,-0.0016000000000000014,0.0006000000000000005,-0.02080000000000002,-0.4214,-1.0192,0.0
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.49,-0.67,0.24,9,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696244,-38.57741467,-0.08,0.033999999999999996,-1.036,-0.38,-0.794,0.16999999999999998,-0.07993643605463054,0.0388957078494842,-1.0385448857699113,-0.4700522828234067,-0.8643306793572532,0.13803396415658875,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.48019999999999996,-0.6566000000000001,0.2352
2024-04-09,10:14:33,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.03,-0.43,-0.92,0.0,10,-3.7446967,-38.57741351,17.438,2024-04-09,10:14:33,0.0,32,36873.0,-3.744696187,-38.577414815,-0.08,0.033999999999999996,-1.034,-0.392,-0.758,0.08399999999999999,-0.0800251314534561,0.04011703826172201,-1.0350015017112328,-0.48913736068483255,-0.8909804178954427,0.06681992364489733,-0.0016000000000000014,0.0008000000000000007,-0.020600000000000018,-0.4214,-0.9016000000000001,0.0
2024-04-09,10:14:34,0/0/0,0:0:0,,,0.0,0.0,0,-0.08,0.04,-1.04,-0.55,-0.98,0.0,1,-3.74469613,-38.57741496,17.87,2024-04-09,10:14:34,0.0,32,36874.0,-3.74469613,-38.57741496,-0.08,0.036,-1.036,-0.4779999999999999,-0.8560000000000001,0.072,-0.08003079578140272,0.039688533000000324,-1.0339023852530367,-0.4440790686293892,-0.8528422722600707,0.011922284003778427,-0.0016000000000000014,0.0008000000000000007,-0.02080000000000002,-0.539,-0.9603999999999999,0.0
